Title,Price,Price per Month,Area,Front,age,Street_Width,Street_Name,Ad_Source,Plan_Number,Num_Bedrooms,Num_Bathrooms,Living_Room,Majlis,Building_surfaces,URL
فيلا 377 متر مربع شمالية على شارع 15م,"3,500,000","20,825",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D9%81%D9%8A%D9%84%D8%A7-377-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D9%85%D8%A7%D9%84%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-15%D9%85-5780216
شقة,"695,000","4,135",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%B4%D9%82%D8%A9-5780085
أرض 1499.24 متر مربع شرقية على شارع 16م,"1,506,736","8,965",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-149924-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-16%D9%85-5779795
فيلا 325 متر مربع شمالية على شارع 15م,"1,250,000","7,438",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D9%81%D9%8A%D9%84%D8%A7-325-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D9%85%D8%A7%D9%84%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-15%D9%85-5780229
أرض 1499.24 متر مربع شرقية على شارع 16م,"1,499,240","8,920",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-149924-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-16%D9%85-5780244
أرض 1200 متر مربع شرقية على شارع 25م,"3,499,200","20,820",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-1200-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-25%D9%85-5780120
شقة 158 متر مربع ب 4 غرف,"950,000","5,652",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%B4%D9%82%D8%A9-158-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-4-%D8%BA%D8%B1%D9%81-5780062
أرض 800 متر مربع جنوبية على شارع 15م,"75,200",447,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-800-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%AC%D9%86%D9%88%D8%A8%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-15%D9%85-5780134
أرض 360.62 متر مربع شمالية شرقية على شارع 15م,"151,460",901,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-36062-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D9%85%D8%A7%D9%84%D9%8A%D8%A9-%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-15%D9%85-5780246
أرض 720 متر مربع غربية على شارع 15م,"1,550,000","9,223",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-720-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-15%D9%85-5780203
أرض 900 متر مربع شرقية على شارع 20م,"280,800","1,671",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-900-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-20%D9%85-5780136
شقة,"695,000","4,135",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%B4%D9%82%D8%A9-5780123
أرض 808.96 متر مربع شرقية على شارع 15م,"2,499,686","14,873",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-80896-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-15%D9%85-5780121
أرض 749.7000122070312 متر مربع جنوبية على شارع 20م,"1,200,269","7,142",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-7497000122070312-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%AC%D9%86%D9%88%D8%A8%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-20%D9%85-5780112
أرض 375 متر مربع شمالية على شارع 20م,"975,000","5,801",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-375-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D9%85%D8%A7%D9%84%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-20%D9%85-5780228
فيلا 219.87 متر مربع شرقية على شارع 15م,"760,000","4,522",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D9%81%D9%8A%D9%84%D8%A7-21987-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-15%D9%85-5780187
فيلا 518.3 متر مربع جنوبية شرقية على شارع 30م,"1,100,000","6,545",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D9%81%D9%8A%D9%84%D8%A7-5183-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%AC%D9%86%D9%88%D8%A8%D9%8A%D8%A9-%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-30%D9%85-5779929
شقة 124 متر مربع ب 4 غرف,"780,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%B4%D9%82%D8%A9-124-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-4-%D8%BA%D8%B1%D9%81-5779137
أرض 500 متر مربع جنوبية على شارع 23م,"480,000","2,856",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-500-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%AC%D9%86%D9%88%D8%A8%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-23%D9%85-5780102
شقة 137 متر مربع ب 4 غرف,"780,000","4,641",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%B4%D9%82%D8%A9-137-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-4-%D8%BA%D8%B1%D9%81-5780210
شقة 268 متر مربع ب 6 غرف,"580,000","3,451",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%B4%D9%82%D8%A9-268-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-6-%D8%BA%D8%B1%D9%81-5780095
شقة 177 متر مربع ب 3 غرف,"1,340,000","7,973",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%B4%D9%82%D8%A9-177-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-3-%D8%BA%D8%B1%D9%81-5780067
أرض 600 متر مربع غربية على شارع 30م,"649,800","3,866",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-600-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-30%D9%85-5780098
أرض 13899.2 متر مربع شرقية على شارع 60م,"18,068,960","107,510",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://wasalt.sa/property/sale/%D8%A3%D8%B1%D8%B6-138992-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%B1%D8%B9-60%D9%85-5780224
